"flightairvehicleid","flightid","planeid"
"302","278","23"
"303","279","11"
"304","280","11"
"305","281","11"
"306","282","11"
"307","283","11"
"308","284","11"
"309","285","11"
"310","286","11"
"311","287","11"
"312","288","11"
"313","289","11"
"314","290","11"
"315","291","11"
"316","292","11"
"317","293","11"
"318","294","11"
"319","295","11"
"320","296","11"
"321","297","11"
"322","298","11"
"323","299","11"
"324","300","11"
"325","301","11"
"326","302","11"
"327","303","11"
"328","304","11"
"329","305","11"
"330","306","11"
"331","307","11"
"332","308","11"
"333","309","24"
"334","310","24"
"335","311","24"
"336","312","24"
"337","313","24"
"338","314","12"
"339","315","12"
"340","316","12"
"341","317","12"
"342","318","12"
"343","319","12"
"344","320","12"
"345","321","12"
"346","322","12"
"347","323","12"
"348","324","12"
"349","325","12"
"350","326","12"
"351","327","12"
"352","328","12"
"353","329","12"
"354","330","12"
"355","331","12"
"356","332","12"
"357","333","12"
"358","334","12"
"359","335","12"
"360","336","12"
"361","337","12"
"362","338","12"
"363","339","12"
"364","340","12"
"365","341","12"
"366","342","12"
"367","343","12"
"368","344","12"
"369","345","12"
"370","346","12"
"371","347","12"
"372","348","12"
"373","349","12"
"374","350","20"
"375","351","20"
"376","352","20"
"377","353","20"
"378","354","20"
"379","355","20"
"380","356","20"
"381","357","20"
"382","358","20"
"383","359","21"
"384","360","21"
"385","361","21"
"386","362","21"
"387","363","21"
"388","364","20"
"389","365","21"
"390","366","20"
"391","367","21"
"392","368","21"
"393","369","20"
"394","370","21"
"395","371","21"
"396","372","20"
"397","373","20"
"398","374","20"
"399","375","20"
"400","376","12"
"401","377","12"
"402","378","12"
"403","379","12"
"404","380","12"
"405","381","12"
"406","382","12"
"407","383","12"
"408","384","12"
"409","385","12"
"410","386","12"
"411","387","12"
"412","388","12"
"413","389","12"
"414","390","12"
"415","391","12"
"416","392","12"
"417","393","12"
"418","394","12"
"419","395","12"
"420","396","12"
"421","397","12"
"422","398","12"
"423","399","12"
"424","400","12"
"425","401","12"
"426","402","12"
"427","403","12"
"428","404","12"
"429","405","12"
"430","406","12"
"431","407","12"
"432","408","12"
"433","409","12"
"434","410","12"
"435","411","12"
"436","412","12"
"437","413","12"
"438","414","12"
"439","415","12"
"440","416","12"
"441","417","12"
"442","418","12"
"443","419","12"
"444","420","25"
"445","421","25"
"446","422","25"
"447","423","25"
"448","424","25"
"449","425","25"
"450","426","26"
"451","427","26"
"452","428","27"
"453","429","26"
"454","430","27"
"455","431","26"
"456","432","27"
"457","433","27"
"458","434","27"
"459","435","27"
"460","436","27"
"461","437","26"
"462","437","28"
"463","438","26"
"464","439","27"
"465","440","27"
"466","441","26"
"467","442","27"
"468","443","27"
"469","444","27"
"470","445","26"
"471","445","28"
"472","446","29"
"473","447","12"
"474","448","29"
"475","449","29"
"476","450","29"
"477","451","12"
"478","452","29"
"479","452","12"
"480","453","29"
"481","454","29"
"482","455","29"
"483","456","29"
"484","457","29"
"485","457","12"
"486","458","30"
"487","459","29"
"488","460","29"
"489","461","29"
"490","462","30"
"491","463","29"
"492","464","29"
"493","465","29"
"494","466","29"
"495","467","29"
"496","468","29"
"497","469","29"
"498","470","31"
"499","471","31"
"500","471","12"
"501","472","31"
"502","472","12"
"503","472","19"
"504","473","19"
"505","474","31"
"506","475","31"
"507","476","31"
"508","477","12"
"509","478","12"
"510","479","12"
"511","480","12"
"512","481","31"
"513","482","12"
"514","483","31"
"515","484","12"
"516","484","11"
"517","485","31"
"518","485","12"
"519","486","31"
"520","487","11"
"521","487","31"
"522","488","19"
"523","489","12"
"524","490","12"
"525","491","12"
"526","492","11"
"527","493","12"
"528","493","11"
"529","494","31"
"530","495","31"
"531","496","11"
"532","497","11"
"533","497","12"
"534","498","11"
"535","498","31"
"536","499","11"
"537","500","11"
"538","501","11"
"539","502","11"
"540","503","11"
"541","504","31"
"542","504","11"
"543","504","12"
"544","505","12"
"545","505","11"
"546","506","11"
"547","507","11"
"548","508","19"
"549","509","12"
"550","510","12"
"551","511","31"
"552","512","12"
"553","513","11"
"554","514","31"
"555","515","12"
"556","516","11"
"557","517","11"
"558","518","11"
"559","519","12"
"560","520","11"
"561","521","11"
"562","522","11"
"563","522","31"
"564","523","12"
"565","524","12"
"566","525","12"
"567","526","12"
"568","527","11"
"569","528","31"
"570","529","31"
"571","529","12"
"572","529","19"
"573","530","31"
"574","531","19"
"575","532","12"
"576","533","11"
"577","534","11"
"578","535","31"
"579","536","11"
"580","537","12"
"581","538","31"
"582","539","12"
"583","539","11"
"584","540","12"
"585","541","31"
"586","542","31"
"587","543","31"
"588","544","11"
"589","545","12"
"590","546","11"
"591","547","31"
"592","548","12"
"593","549","12"
"594","550","12"
"595","551","11"
"596","552","11"
"597","553","11"
"598","554","19"
"599","554","11"
"600","555","11"
"601","556","19"
"602","557","11"
"603","557","12"
"604","558","11"
"605","558","12"
"606","559","19"
"607","559","31"
"608","559","12"
"609","560","31"
"610","560","19"
"611","561","11"
"612","562","19"
"613","563","12"
"614","564","31"
"615","565","12"
"616","565","31"
"617","566","31"
"618","567","31"
"619","568","12"
"620","569","31"
"621","570","11"
"622","571","11"
"623","571","19"
"624","572","12"
"625","573","11"
"626","574","12"
"627","575","11"
"628","576","12"
"629","577","12"
"630","577","11"
"631","578","12"
"632","579","12"
"633","580","12"
"634","581","12"
"635","582","11"
"636","583","12"
"637","584","31"
"638","585","31"
"639","586","12"
"640","587","11"
"641","588","11"
"642","589","12"
"643","590","12"
"644","591","12"
"645","592","31"
"646","593","12"
"647","594","11"
"648","595","11"
"649","596","11"
"650","597","12"
"651","598","11"
"652","599","12"
"653","600","11"
"654","601","11"
"655","602","11"
"656","603","11"
"657","604","31"
"658","605","12"
"659","606","31"
"660","607","12"
"661","608","11"
"662","609","12"
"663","610","31"
"664","611","12"
"665","612","12"
"666","612","11"
"667","613","11"
"668","613","12"
"669","614","12"
"670","615","12"
"671","616","12"
"672","617","12"
"673","618","12"
"674","619","12"
"675","620","12"
"676","621","11"
"677","622","31"
"678","623","31"
"679","624","12"
"680","625","31"
"681","626","12"
"682","627","31"
"683","628","31"
"684","629","11"
"685","630","31"
"686","631","31"
"687","632","12"
"688","632","31"
"689","633","31"
"690","634","31"
"691","635","31"
"692","636","31"
"693","637","12"
"694","637","31"
"695","638","31"
"696","639","31"
"697","640","31"
"698","641","31"
"699","642","12"
"700","643","11"
"701","644","11"
"702","645","11"
"703","646","12"
"704","647","12"
"705","648","11"
"706","649","11"
"707","650","11"
"708","651","11"
"709","652","31"
"710","653","11"
"711","654","31"
"712","655","12"
"713","656","11"
"714","656","12"
"715","657","12"
"716","658","12"
"717","659","11"
"718","660","11"
"719","661","12"
"720","662","11"
"721","663","12"
"722","664","12"
"723","665","12"
"724","666","12"
"725","667","12"
"726","668","12"
"727","669","12"
"728","670","12"
"729","671","12"
"730","672","12"
"731","673","12"
"732","674","12"
"733","675","12"
"734","676","12"
"735","677","12"
"736","678","31"
"737","679","31"
"738","680","12"
"739","681","31"
"740","682","12"
"741","683","31"
"742","684","12"
"743","685","11"
"744","685","31"
"745","686","11"
"746","687","11"
"747","688","11"
"748","689","31"
"749","690","31"
"750","691","11"
"751","692","11"
"752","693","11"
"753","694","11"
"754","695","11"
"755","696","11"
"756","697","19"
"757","697","11"
"758","698","11"
"759","699","11"
"760","700","11"
"761","701","11"
"762","701","12"
"763","702","11"
"764","703","19"
"765","704","11"
"766","705","11"
"767","706","12"
"768","707","12"
"769","708","11"
"770","709","31"
"771","710","31"
"772","711","31"
"773","712","12"
"774","713","31"
"775","714","31"
"776","715","12"
"777","716","11"
"778","717","11"
"779","717","12"
"780","718","11"
"781","719","11"
"782","720","12"
"783","721","11"
"784","722","12"
"785","723","11"
"786","724","11"
"787","724","12"
"788","725","12"
"789","726","31"
"790","727","11"
"791","728","31"
"792","729","11"
"793","729","31"
"794","729","12"
"795","730","31"
"796","730","12"
"797","730","19"
"798","731","12"
"799","732","12"
"800","733","12"
"801","733","11"
"802","734","19"
"803","734","31"
"804","735","19"
"805","736","11"
"806","737","11"
"807","738","12"
"808","739","12"
"809","740","19"
"810","741","11"
"811","742","31"
"812","743","31"
"813","744","12"
"814","745","19"
"815","746","12"
"816","747","31"
"817","748","31"
"818","749","19"
"819","750","19"
"820","751","11"
"821","752","19"
"822","753","12"
"823","754","31"
"824","755","31"
"825","756","12"
"826","757","12"
"827","758","31"
"828","759","12"
"829","760","31"
"830","761","31"
"831","762","11"
"832","763","12"
"833","764","12"
"834","764","31"
"835","765","11"
"836","766","31"
"837","767","12"
"838","768","31"
"839","769","31"
"840","770","31"
"841","771","31"
"842","772","12"
"843","772","31"
"844","773","12"
"845","774","31"
"846","775","12"
"847","776","12"
"848","777","12"
"849","778","12"
"850","779","12"
"851","779","11"
"852","780","11"
"853","781","31"
"854","782","12"
"855","783","31"
"856","784","31"
"857","785","11"
"858","786","31"
"859","787","11"
"860","788","11"
"861","789","12"
"862","790","31"
"863","791","11"
"864","792","12"
"865","793","12"
"866","794","11"
"867","794","19"
"868","795","11"
"869","796","11"
"870","797","11"
"871","798","11"
"872","799","12"
"873","800","31"
"874","801","12"
"875","802","31"
"876","803","11"
"877","804","11"
"878","805","31"
"879","806","11"
"880","807","31"
"881","808","11"
"882","809","11"
"883","810","12"
"884","811","11"
"885","812","12"
"886","813","12"
"887","814","11"
"888","815","12"
"889","816","31"
"890","817","11"
"891","818","12"
"892","818","11"
"893","819","11"
"894","820","11"
"895","821","31"
"896","822","12"
"897","823","11"
"898","824","11"
"899","824","12"
"900","825","12"
"901","826","11"
"902","827","11"
"903","828","11"
"904","829","11"
"905","830","11"
"906","831","31"
"907","832","12"
"908","833","31"
"909","834","12"
"910","835","12"
"911","836","11"
"912","837","12"
"913","838","12"
"914","839","11"
"915","840","12"
"916","841","11"
"917","842","12"
"918","843","12"
"919","844","12"
"920","845","12"
"921","845","31"
"922","846","12"
"923","847","31"
"924","848","12"
"925","849","11"
"926","850","11"
"927","851","11"
"928","852","12"
"929","853","12"
"930","854","11"
"931","855","19"
"932","856","11"
"933","857","11"
"934","858","12"
"935","859","12"
"936","860","12"
"937","861","12"
"938","862","9"
"939","863","9"
"940","864","32"
"941","865","28"
"942","866","33"
"943","867","33"
"944","868","28"
"945","868","33"
"946","869","34"
"947","870","28"
"948","871","34"
"949","872","34"
"950","873","32"
"951","874","34"
"952","875","33"
"953","876","32"
"954","877","33"
"955","878","32"
"956","879","28"
"957","880","28"
"958","880","33"
"959","881","28"
"960","882","32"
"961","883","32"
"962","884","21"
"963","885","35"
"964","886","21"
"965","887","21"
"966","888","21"
"967","889","35"
"968","890","36"
"969","891","35"
"970","892","21"
"971","893","35"
"972","894","21"
"973","895","35"
"974","896","35"
"975","897","36"
"976","898","36"
"977","899","35"
"978","900","21"
"979","901","21"
"980","902","36"
"981","903","35"
"982","904","36"
"983","905","36"
"984","906","36"
"985","907","35"
"986","908","21"
"987","909","21"
"988","910","36"
"989","911","36"
"990","912","35"
"991","913","35"
"992","914","35"
"993","915","36"
"994","916","30"
"995","917","30"
"996","918","37"
"997","919","37"
"998","920","37"
"999","921","37"
"1000","921","38"
"1001","922","38"
"1002","923","37"
"1003","924","37"
"1004","924","38"
"1005","925","38"
"1006","926","38"
"1007","927","38"
"1008","928","24"
"1009","929","24"
"1010","930","24"
"1011","931","24"
"1012","932","24"
"1013","933","24"
"1014","934","24"
"1015","935","24"
"1016","936","24"
"1017","937","24"
"1018","938","24"
"1019","939","24"
"1020","940","24"
"1021","941","12"
"1022","942","12"
"1023","943","26"
"1024","944","12"
"1025","945","12"
"1026","946","12"
"1027","947","12"
"1028","948","26"
"1029","949","12"
"1030","950","12"
"1031","951","12"
"1032","952","12"
"1033","953","12"
"1034","954","12"
"1035","955","12"
"1036","956","12"
"1037","957","12"
"1038","958","12"
"1039","959","12"
"1040","960","12"
"1041","961","12"
"1042","962","12"
"1043","963","12"
"1044","964","12"
"1045","965","12"
"1046","966","12"
"1047","967","26"
"1048","968","12"
"1049","969","12"
"1050","970","12"
"1051","971","26"
"1052","972","12"
"1053","973","12"
"1054","974","12"
"1055","975","12"
"1056","976","26"
"1057","977","12"
"1058","978","12"
"1059","979","12"
"1060","980","12"
"1061","981","12"
"1062","982","12"
"1063","983","12"
"1064","984","12"
"1065","985","12"
"1066","986","12"
"1067","987","12"
"1068","988","26"
"1069","989","12"
"1070","990","12"
"1071","991","26"
"1072","992","12"
"1073","993","26"
"1074","994","12"
"1075","995","12"
"1076","996","26"
"1077","997","12"
"1078","998","12"
"1079","999","12"
"1080","1000","12"
"1081","1001","12"
"1082","1002","12"
"1083","1003","12"
"1084","1004","26"
"1085","1005","12"
"1086","1006","12"
"1087","1007","26"
"1088","1008","12"
"1089","1009","26"
"1090","1010","12"
"1091","1011","12"
"1092","1012","26"
"1093","1013","12"
"1094","1014","12"
"1095","1015","12"
"1096","1016","12"
"1097","1017","12"
"1098","1018","12"
"1099","1019","26"
"1100","1020","12"
"1101","1021","12"
"1102","1022","12"
"1103","1023","26"
"1104","1024","12"
"1105","1025","12"
"1106","1026","12"
"1107","1027","12"
"1108","1028","12"
"1109","1029","12"
"1110","1030","12"
"1111","1031","12"
"1112","1032","12"
"1113","1033","12"
"1114","1034","12"
"1115","1035","12"
"1116","1036","12"
"1117","1037","12"
"1118","1038","12"
"1119","1039","12"
"1120","1040","12"
"1121","1041","12"
"1122","1042","12"
"1123","1043","12"
"1124","1044","12"
"1125","1045","12"
"1126","1046","26"
"1127","1047","12"
"1128","1048","12"
"1129","1049","26"
"1130","1050","12"
"1131","1051","12"
"1132","1052","26"
"1133","1053","12"
"1134","1054","12"
"1135","1055","11"
"1136","1056","12"
"1137","1057","11"
"1138","1058","11"
"1139","1058","12"
"1140","1059","11"
"1141","1060","11"
"1142","1061","12"
"1143","1062","11"
"1144","1063","11"
"1145","1063","12"
"1146","1064","11"
"1147","1065","11"
"1148","1066","11"
"1149","1067","12"
"1150","1068","12"
"1151","1069","12"
"1152","1070","12"
"1153","1071","12"
"1154","1072","12"
"1155","1073","12"
"1156","1074","12"
"1157","1075","12"
"1158","1076","12"
"1159","1077","12"
"1160","1078","12"
"1161","1079","12"
"1162","1079","11"
"1163","1080","11"
"1164","1081","11"
"1165","1082","8"
"1166","1083","8"
"1167","1084","8"
"1168","1085","8"
"1169","1086","8"
"1170","1087","8"
"1171","1088","11"
"1172","1089","11"
"1173","1090","12"
"1174","1091","12"
"1175","1091","11"
"1176","1092","12"
"1177","1092","11"
"1178","1093","11"
"1179","1094","11"
"1180","1095","11"
"1181","1095","12"
"1182","1096","11"
"1183","1097","11"
"1184","1098","8"
"1185","1099","8"
"1186","1100","11"
"1187","1101","11"
"1188","1102","12"
"1189","1103","8"
"1190","1104","11"
"1191","1105","12"
"1192","1106","8"
"1193","1107","8"
"1194","1107","11"
"1195","1108","11"
"1196","1109","11"
"1197","1110","11"
"1198","1110","8"
"1199","1111","11"
"1200","1112","8"
"1201","1113","11"
"1202","1114","11"
"1203","1114","8"
"1204","1115","8"
"1205","1116","11"
"1206","1116","12"
"1207","1116","8"
"1208","1117","8"
"1209","1118","11"
"1210","1118","8"
"1211","1119","11"
"1212","1120","8"
"1213","1121","11"
"1214","1122","11"
"1215","1122","8"
"1216","1123","12"
"1217","1123","11"
"1218","1124","11"
"1219","1125","11"
"1220","1126","11"
"1221","1127","8"
"1222","1128","11"
"1223","1129","12"
"1224","1130","12"
"1225","1130","11"
"1226","1131","11"
"1227","1132","11"
"1228","1133","11"
"1229","1134","11"
"1230","1134","12"
"1231","1134","8"
"1232","1135","11"
"1233","1136","12"
"1234","1136","11"
"1235","1137","11"
"1236","1138","11"
"1237","1139","11"
"1238","1140","11"
"1239","1140","8"
"1240","1141","11"
"1241","1142","11"
"1242","1143","11"
"1243","1143","12"
"1244","1144","11"
"1245","1144","12"
"1246","1145","11"
"1247","1145","8"
"1248","1146","11"
"1249","1146","8"
"1250","1147","8"
"1251","1148","12"
"1252","1148","11"
"1253","1149","12"
"1254","1149","11"
"1255","1150","11"
"1256","1151","11"
"1257","1152","11"
"1258","1153","8"
"1259","1154","11"
"1260","1154","12"
"1261","1155","8"
"1262","1155","11"
"1263","1155","12"
"1264","1156","11"
"1265","1156","12"
"1266","1157","11"
"1267","1157","12"
"1268","1158","11"
"1269","1159","11"
"1270","1160","11"
"1271","1160","8"
"1272","1161","11"
"1273","1161","12"
"1274","1162","11"
"1275","1162","12"
"1276","1163","11"
"1277","1164","11"
"1278","1165","12"
"1279","1165","11"
"1280","1166","11"
"1281","1166","8"
"1282","1167","11"
"1283","1167","12"
"1284","1167","8"
"1285","1168","11"
"1286","1169","11"
"1287","1169","8"
"1288","1170","11"
"1289","1171","12"
"1290","1172","11"
"1291","1173","11"
"1292","1174","11"
"1293","1174","12"
"1294","1175","11"
"1295","1176","11"
"1296","1176","12"
"1297","1177","11"
"1298","1178","11"
"1299","1179","11"
"1300","1180","11"
"1301","1181","11"
"1302","1181","12"
"1303","1182","11"
"1304","1183","11"
"1305","1183","12"
"1306","1184","12"
"1307","1184","11"
"1308","1185","11"
"1309","1185","12"
"1310","1186","11"
"1311","1187","8"
"1312","1188","11"
"1313","1189","11"
"1314","1190","8"
"1315","1190","11"
"1316","1191","12"
"1317","1191","11"
"1318","1192","11"
"1319","1193","11"
"1320","1194","8"
"1321","1195","11"
"1322","1196","11"
"1323","1197","11"
"1324","1198","11"
"1325","1199","8"
"1326","1200","11"
"1327","1201","8"
"1328","1202","11"
"1329","1203","11"
"1330","1204","11"
"1331","1205","12"
"1332","1206","11"
"1333","1207","11"
"1334","1207","8"
"1335","1208","11"
"1336","1208","8"
"1337","1209","11"
"1338","1209","8"
"1339","1210","11"
"1340","1211","11"
"1341","1212","11"
"1342","1212","12"
"1343","1213","11"
"1344","1214","11"
"1345","1215","11"
"1346","1216","8"
"1347","1217","8"
"1348","1218","8"
"1349","1219","12"
"1350","1219","11"
"1351","1220","12"
"1352","1221","8"
"1353","1222","8"
"1354","1223","8"
"1355","1224","8"
"1356","1225","8"
"1357","1226","8"
"1358","1227","8"
"1359","1228","11"
"1360","1228","8"
"1361","1229","8"
"1362","1230","8"
"1363","1231","8"
"1364","1232","11"
"1365","1233","12"
"1366","1234","8"
"1367","1235","8"
"1368","1236","8"
"1369","1237","8"
"1370","1238","8"
"1371","1239","8"
"1372","1239","12"
"1373","1240","8"
"1374","1241","8"
"1375","1242","8"
"1376","1243","12"
"1377","1244","8"
"1378","1245","8"
"1379","1246","11"
"1380","1247","11"
"1381","1247","12"
"1382","1248","11"
"1383","1249","8"
"1384","1250","8"
"1385","1251","12"
"1386","1251","11"
"1387","1252","8"
"1388","1253","8"
"1389","1254","8"
"1390","1255","11"
"1391","1256","11"
"1392","1256","12"
"1393","1257","11"
"1394","1258","11"
"1395","1258","12"
"1396","1259","11"
"1397","1259","12"
"1398","1260","11"
"1399","1261","11"
"1400","1262","11"
"1401","1263","11"
"1402","1264","11"
"1403","1264","8"
"1404","1265","8"
"1405","1266","8"
"1406","1267","8"
"1407","1268","8"
"1408","1269","8"
"1409","1270","8"
"1410","1271","11"
"1411","1272","11"
"1412","1273","11"
"1413","1274","11"
"1414","1275","11"
"1415","1276","11"
"1416","1277","11"
"1417","1278","11"
"1418","1279","11"
"1419","1280","11"
"1420","1281","11"
"1421","1282","11"
"1422","1283","11"
"1423","1284","11"
"1424","1285","11"
"1425","1286","11"
"1426","1287","11"
"1427","1288","8"
"1428","1289","8"
"1429","1290","11"
"1430","1291","8"
"1431","1292","8"
"1432","1293","8"
"1433","1294","8"
"1434","1295","11"
"1435","1295","8"
"1436","1296","11"
"1437","1296","8"
"1438","1297","11"
"1439","1298","11"
"1440","1299","11"
"1441","1300","11"
"1442","1301","8"
"1443","1302","8"
"1444","1303","8"
"1445","1304","11"
"1446","1305","11"
"1447","1305","8"
"1448","1306","11"
"1449","1306","8"
"1450","1307","8"
"1451","1308","8"
"1452","1309","11"
"1453","1309","8"
"1454","1310","11"
"1455","1311","11"
"1456","1312","8"
"1457","1313","11"
"1458","1314","8"
"1459","1315","11"
"1460","1316","8"
"1461","1317","11"
"1462","1318","11"
"1463","1319","11"
"1464","1320","11"
"1465","1321","11"
"1466","1322","11"
"1467","1322","8"
"1468","1323","8"
"1469","1324","11"
"1470","1324","8"
"1471","1325","11"
"1472","1325","8"
"1473","1326","8"
"1474","1327","11"
"1475","1327","8"
"1476","1328","8"
"1477","1329","11"
"1478","1330","8"
"1479","1331","8"
"1480","1332","8"
"1481","1333","11"
"1482","1334","12"
"1483","1334","11"
"1484","1335","11"
"1485","1336","11"
"1486","1337","11"
"1487","1338","11"
"1488","1339","11"
"1489","1340","12"
"1490","1340","11"
"1491","1341","12"
"1492","1342","11"
"1493","1343","11"
"1494","1344","11"
"1495","1345","11"
"1496","1346","11"
"1497","1347","8"
"1498","1348","11"
"1499","1348","8"
"1500","1349","11"
"1501","1349","8"
"1502","1350","8"
"1503","1351","8"
"1504","1352","11"
"1505","1352","12"
"1506","1353","11"
"1507","1354","8"
"1508","1354","11"
"1509","1354","12"
"1510","1355","8"
"1511","1356","11"
"1512","1356","8"
"1513","1357","11"
"1514","1357","12"
"1515","1358","11"
"1516","1358","8"
"1517","1359","11"
"1518","1359","12"
"1519","1360","11"
"1520","1360","12"
"1521","1361","11"
"1522","1362","11"
"1523","1362","12"
"1524","1363","11"
"1525","1364","11"
"1526","1365","8"
"1527","1366","8"
"1528","1367","8"
"1529","1368","11"
"1530","1369","8"
"1531","1370","8"
"1532","1371","11"
"1533","1372","11"
"1534","1372","8"
"1535","1373","8"
"1536","1373","12"
"1537","1374","11"
"1538","1375","11"
"1539","1375","8"
"1540","1376","8"
"1541","1376","11"
"1542","1377","11"
"1543","1377","12"
"1544","1378","11"
"1545","1379","11"
"1546","1380","11"
"1547","1381","11"
"1548","1381","12"
"1549","1382","11"
"1550","1383","11"
"1551","1384","11"
"1552","1385","8"
"1553","1386","8"
"1554","1387","8"
"1555","1388","11"
"1556","1389","11"
"1557","1390","8"
"1558","1391","11"
"1559","1392","11"
"1560","1393","8"
"1561","1394","12"
"1562","1394","11"
"1563","1395","11"
"1564","1395","12"
"1565","1396","12"
"1566","1397","11"
"1567","1398","11"
"1568","1399","11"
"1569","1399","12"
"1570","1400","12"
"1571","1401","11"
"1572","1401","8"
"1573","1402","8"
"1574","1403","11"
"1575","1403","12"
"1576","1403","8"
"1577","1404","8"
"1578","1405","8"
"1579","1406","11"
"1580","1407","11"
"1581","1408","11"
"1582","1409","11"
"1583","1410","11"
"1584","1411","11"
"1585","1412","11"
"1586","1412","8"
"1587","1413","11"
"1588","1414","12"
"1589","1415","11"
"1590","1416","11"
"1591","1417","11"
"1592","1418","11"
"1593","1419","11"
"1594","1420","11"
"1595","1420","12"
"1596","1421","11"
"1597","1422","11"
"1598","1423","11"
"1599","1424","11"
"1600","1425","11"
"1601","1426","11"
"1602","1427","11"
"1603","1428","11"
"1604","1429","11"
